,Year,anger_lyrics,disgust_lyrics,fear_lyrics,negative_lyrics,sadness_lyrics,positive_lyrics,joy_lyrics,trust_lyrics,anticipation_lyrics,surprise_lyrics,positive_stateofunion,trust_stateofunion,anticipation_stateofunion,joy_stateofunion,surprise_stateofunion,negative_stateofunion,disgust_stateofunion,fear_stateofunion,anger_stateofunion,sadness_stateofunion
52,2008,1.6669681447972857,1.250048291052142,1.694705964359698,3.1789980046855266,1.9065493722299978,4.254112515711107,2.8432983310628885,1.9246519437014549,2.555496200621505,1.505321874908923,8.094580600621333,6.144287193648601,3.0376251294442524,2.7959958577839146,1.3289609941318605,3.5208836727649295,1.1218501898515705,2.399033482913359,1.794960303762513,1.2944425267518123
53,2010,1.8387094561526678,1.271367574834588,1.794676423954435,3.191102052826001,1.9307189838171583,4.634287834293621,3.2565964259318956,2.062422435254867,2.3645024327475026,1.392844297687942,5.957787870691958,4.114346780657227,2.52471279722148,2.0571733903286136,0.9617953513224685,3.473149879775581,0.948437082554101,2.043815121560246,1.3892599519102324,1.6297087897408495
54,2011,1.6643284243571628,1.0968570106288023,1.8591426602513652,2.92449053436013,1.7593064137261278,4.223804206985219,3.1311662544274763,2.0296992920584978,2.3026836158568953,1.2676314867223555,5.693800084352594,3.6412203008575847,2.6711654716715874,2.1650499086180233,0.9841135948263743,2.305637565021791,0.5904681568958245,1.4480528609588077,0.9981723604667511,0.8575847040629833
55,2012,1.9054756281878058,1.2621189958833512,1.9911803350804482,3.4416038143927405,2.3187412753899594,5.0183749934771225,3.764500938159012,2.024287539773898,2.2244897920103877,1.5238402122348442,5.887207702888583,4.154057771664374,2.3108665749656123,1.7744154057771664,0.6877579092159559,3.2187070151306743,0.6877579092159559,1.7881705639614855,1.1829436038514443,1.4442916093535076
56,2013,1.6605976233887512,1.0829921954804755,1.9323302072304858,3.342794490121777,2.135171474363675,4.8434521687695264,3.4689015082268786,2.2201891831735305,2.4747108805641145,1.474538911110457,6.801654071010979,4.605732211607016,2.9659204334806786,2.224440325110509,1.0551832311421645,2.9516612006274063,0.8555539711963496,1.8394410380721518,1.3831455867674318,1.2548124910879794
57,2014,1.817206755701869,1.2647054284276418,2.090549616733641,3.5066104720631643,2.01353184716665,5.090924681080091,3.1245262658841932,2.8352913264191857,2.6154118981975505,1.463200057084052,6.620784583620096,4.363386097728837,2.76668960770819,2.1059876118375773,1.1149346180316586,2.8492773571920167,0.8947006194081212,1.8306951135581555,1.032346868547832,1.321403991741225
58,2015,2.167517461095845,1.2076236480973828,2.051214719993233,3.456627029561354,1.8117401606543153,4.6721009414162165,3.12470051050728,2.2201420498995383,2.6634409000686055,1.361573845533318,6.039406053683609,3.8549400342661335,2.727013135351228,1.7989720159908624,1.15648201027984,2.627070245573958,0.8423757852655626,1.7418617932609939,1.2421473443746431,1.15648201027984
59,2016,1.7005086646691736,1.203505253842528,2.301873819866159,3.500243909711863,1.8162653269729965,4.724850687435874,3.0462478244031637,2.239111690562451,2.2614863817800335,1.205579957493566,6.561554387641344,4.427456601369645,2.6755852842809364,2.357063226628444,1.305940436375219,2.8826246217550566,0.7644529383659818,2.357063226628444,1.7996496257365824,1.5766841853798377
60,2018,2.3927905621368435,1.4006785180142496,2.2530243321388443,3.8921099509959025,1.955911028893678,3.826158987191516,2.487330991299531,1.8174826831515922,1.9274702926164702,1.134923599693773,6.7669172932330826,4.745196324143692,2.7234753550543025,2.807017543859649,1.2197159565580618,3.7092731829573933,1.1695906432748537,2.807017543859649,1.821219715956558,1.9715956558061822
61,2019,2.564038094819636,1.7130804361374683,2.226504392280998,4.143834021536488,2.2674130763584275,3.7584335934206132,2.4368754969124664,1.8141374343564163,1.923365731247144,1.2550764280957765,7.167590027700831,4.830332409972299,3.393351800554017,3.1336565096952906,1.6966759002770084,4.120498614958449,1.9044321329639888,2.9778393351800556,2.6142659279778395,2.389196675900277
62,2020,2.3906052247654292,1.61777091778085,2.6942184477462225,4.315581184184334,2.2484054114015004,4.399697154872668,3.0309788537537616,2.0845712712952165,2.1257277193063464,1.3333651660865276,7.120790855730615,5.143651529193698,3.1819586036453504,2.9039233858510967,1.3438368860055607,3.444547420451035,1.4828544949026876,2.795798578931109,1.9153537225826383,1.7454433117083719
63,2022,1.7343504947498627,1.213703090765018,1.5761580944023712,3.394506641636719,1.9044040829766642,3.7278236396341877,2.4757034979891825,1.7757275180569492,2.195943554715495,1.161320599579278,6.314623338257016,4.468242245199409,2.8311176760216643,1.9571639586410634,0.9724273756770063,3.2865583456425407,0.8370260955194485,2.117183653372723,1.4894140817331365,1.55096011816839
64,2023,2.013143237474359,1.615778431031978,1.8002152518665355,3.4307912821211604,1.8628416305218907,3.9362894133299857,2.698834575914341,2.152398406879652,2.0786992941969715,1.2072731684538067,5.920114122681883,4.177705318932138,2.700224169553699,2.200937436315468,1.0800896678214795,3.3217852048094563,0.8559201141226819,2.0786631342979414,1.416343998369676,1.4978601997146932
65,2024,2.415975933629819,1.7185439395555433,2.396912494793389,3.804369306955792,2.126518437419133,3.9967016281646597,2.7370114342804412,2.12883359653175,2.3249089912646177,1.595934620923764,6.871278057718736,4.8327989005955105,2.8859367842418693,2.565277141548328,1.4429683921209346,3.5501603298213467,0.8360054970224462,1.8208886852954649,1.4315162620247366,1.5918460833715071
